Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Paperless Billing,Monthly Charges,Total Charges,Churn Value,Churn Score,CLTV,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check,Zip Code_enc,City_enc
0,0,0,0,0.013888888888888888,1,1,0,1,0,0,0,0,1,0.6047904191616766,0.009113623802505529,1,0.8421052631578947,0.49822064056939497,0,1,0,1,0,0,0,0,1,0,0.5,0.5
1,0,1,0,0.9027777777777777,1,1,1,0,1,0,1,1,1,0.8632734530938124,0.7962129237288137,0,0.5052631578947369,0.7362099644128114,0,1,0,1,0,0,0,0,1,0,0.0,0.0
0,0,1,0,1.0,1,1,1,1,1,1,1,1,0,0.7360279441117765,0.7737541451731762,0,0.5368421052631578,0.6968416370106761,1,0,0,0,0,1,0,1,0,0,0.25,0.2653061224489796
1,1,0,0,0.20833333333333331,1,1,0,1,0,0,1,0,0,0.7030938123752495,0.14833962785556376,0,0.7578947368421052,0.5447064056939501,0,1,0,1,0,0,0,1,0,0,0.3333333333333333,0.2875
0,0,1,0,0.9305555555555555,1,1,1,1,1,0,1,1,0,0.9116766467065869,0.8442796610169492,0,0.2210526315789474,0.7591192170818505,0,1,0,0,1,0,0,1,0,0,0.6666666666666666,0.33884297520661155
0,0,1,1,0.4861111111111111,1,0,-1,-1,-1,-1,-1,-1,0,0.015469061876247525,0.07545366617538689,0,0.631578947368421,0.5591637010676157,0,0,1,0,0,1,0,0,0,1,0.25,0.14285714285714285
1,0,0,0,0.06944444444444445,1,1,0,0,1,1,0,0,1,0.6407185628742516,0.04810128039793663,0,0.3263157894736842,0.7264234875444838,0,1,0,1,0,0,0,0,1,0,0.3333333333333333,0.2653061224489796
0,0,0,0,0.16666666666666666,1,1,0,0,1,0,1,0,1,0.7085828343313374,0.11764807479734711,0,0.7789473684210526,0.07161921708185048,0,1,0,1,0,0,0,0,1,0,0.0,0.20833333333333334
1,0,1,0,0.75,1,1,0,0,0,0,1,1,1,0.5149700598802396,0.42783368644067804,1,0.9473684210526316,0.5767348754448397,1,0,0,0,1,0,0,1,0,0,0.25,0.33884297520661155
1,1,1,0,0.4722222222222222,1,1,0,1,0,0,0,0,1,0.6092814371257484,0.3129951179071482,1,0.6421052631578947,0.43972419928825623,0,1,0,1,0,0,0,0,0,1,0.75,0.2857142857142857
0,0,0,0,0.013888888888888888,0,-1,0,0,0,0,0,0,1,0.05838323353293412,0.0028095062638172443,0,0.6421052631578947,0.25400355871886116,1,0,0,1,0,0,0,0,1,0,0.6666666666666666,0.6666666666666666
1,0,0,0,0.861111111111111,1,1,0,0,1,0,1,1,1,0.8143712574850299,0.7384913872512897,1,0.9052631578947368,0.8000444839857651,0,1,0,0,1,0,0,0,1,0,0.25,0.25
0,0,1,0,0.7638888888888888,1,1,-1,-1,-1,-1,-1,-1,0,0.07135728542914171,0.16622720154753134,0,0.7789473684210526,0.9397241992882562,0,0,1,0,0,1,1,0,0,0,0.0,0.030303030303030304
1,0,0,0,0.7222222222222222,1,1,1,1,0,1,1,1,1,0.9251497005988025,0.6812419399410465,1,0.894736842105263,0.6356761565836299,0,1,0,0,1,0,0,1,0,0,0.75,0.75
0,0,0,0,0.6944444444444444,1,1,-1,-1,-1,-1,-1,-1,0,0.06337325349301395,0.1376255066322771,0,0.6631578947368422,0.5102313167259785,0,0,1,0,0,1,1,0,0,0,0.0,0.0
0,0,1,0,0.7083333333333333,1,1,1,1,0,0,0,1,1,0.7769461077844313,0.5654764646278556,0,0.2210526315789474,0.6098754448398577,0,1,0,0,1,0,0,1,0,0,0.0,0.25
0,0,0,0,0.06944444444444445,1,1,0,1,1,0,1,1,0,0.8657684630738522,0.06339812085482684,0,0.6421052631578947,0.4495106761565836,0,1,0,1,0,0,0,0,1,0,0.0,0.0
0,0,0,0,0.1388888888888889,1,0,0,0,0,0,0,1,1,0.3812375249500998,0.05794606669123067,0,0.6842105263157894,0.007562277580071164,1,0,0,1,0,0,1,0,0,0,0.0,0.16666666666666666
1,0,0,0,0.15277777777777776,1,0,1,0,0,1,0,0,1,0.35978043912175645,0.07114153463522477,0,0.46315789473684205,0.12677935943060492,1,0,0,0,1,0,0,0,0,1,0.2,0.2
1,1,1,0,0.2361111111111111,1,1,0,0,0,0,1,1,1,0.7385229540918163,0.18592253131908626,0,0.18947368421052632,0.375,0,1,0,1,0,0,0,0,1,0,0.25,0.2222222222222222
0,0,1,0,0.5,1,1,0,0,0,0,1,1,1,0.7629740518962076,0.3961231116433309,0,0.6210526315789473,0.23443060498220636,0,1,0,1,0,0,1,0,0,0,0.0,0.3037974683544304
0,0,1,1,0.861111111111111,1,0,-1,-1,-1,-1,-1,-1,0,0.013972055888223534,0.14333087693441415,0,0.28421052631578947,0.6227758007117438,0,0,1,0,1,0,1,0,0,0,0.3333333333333333,0.3333333333333333
0,1,0,0,0.4861111111111111,1,1,0,0,1,0,1,1,1,0.8033932135728543,0.39100497420781144,1,0.8105263157894738,0.015791814946619187,0,1,0,1,0,0,0,0,1,0,0.25,0.25
0,1,0,0,0.013888888888888888,1,1,0,0,1,0,1,0,1,0.7010978043912175,0.01022476050110538,1,0.9052631578947368,0.24532918149466187,0,1,0,1,0,0,0,0,1,0,0.25,0.25
0,1,0,0,0.041666666666666664,1,1,0,0,0,0,0,0,1,0.5833333333333333,0.027375414517317617,1,0.9578947368421054,0.25022241992882555,0,1,0,1,0,0,0,0,1,0,0.2,0.2222222222222222
1,0,0,0,0.013888888888888888,1,0,-1,-1,-1,-1,-1,-1,0,0.0029940119760479,0.002170458732498158,0,0.3368421052631579,0.6852758007117438,0,0,1,1,0,0,0,0,1,0,0.0,0.0
0,0,0,0,0.5555555555555556,1,0,1,1,0,1,0,0,1,0.43263473053892215,0.30479688651437,0,0.4947368421052632,0.11499110320284689,1,0,0,1,0,0,0,0,0,1,0.3333333333333333,0.3333333333333333
0,0,0,0,0.041666666666666664,1,0,0,1,0,0,0,1,0,0.656187624750499,0.027064526529108332,0,0.39999999999999997,0.8507562277580071,0,1,0,1,0,0,0,0,1,0,0.0,0.0
1,0,1,0,0.4861111111111111,1,0,0,0,0,0,0,0,1,0.5164670658682635,0.27825050663227713,1,0.7789473684210526,0.7584519572953735,0,1,0,1,0,0,0,0,1,0,0.25,0.25
0,0,0,0,0.05555555555555555,1,0,1,1,0,1,0,1,1,0.7619760479041917,0.041515060795873256,0,0.17894736842105263,0.24266014234875444,0,1,0,1,0,0,0,0,0,1,0.25,0.25
0,0,1,0,0.09722222222222221,0,-1,1,1,0,0,0,0,0,0.15618762475049902,0.029545873249815776,0,0.28421052631578947,0.6888345195729536,1,0,0,1,0,0,0,0,0,1,0.6666666666666666,0.38461538461538464
0,0,0,0,0.5555555555555556,0,-1,1,1,1,0,1,1,0,0.4341317365269461,0.28918915806927054,0,0.30526315789473685,0.06383451957295372,1,0,0,0,1,0,0,1,0,0,0.0,0.2653061224489796
0,1,1,0,0.09722222222222221,1,1,0,0,1,0,1,1,1,0.8323353293413174,0.08069846168017687,1,0.7263157894736842,0.0028914590747330937,0,1,0,1,0,0,0,0,1,0,0.5,0.3
0,0,1,0,0.013888888888888888,0,-1,0,0,0,0,0,0,1,0.04890219560878242,0.0027001197494473106,1,0.894736842105263,0.5591637010676157,1,0,0,1,0,0,0,0,1,0,0.6666666666666666,0.3037974683544304
1,0,1,0,0.4583333333333333,1,0,0,0,0,1,0,0,1,0.32834331337325356,0.20252625276344882,0,0.5684210526315789,0.652135231316726,1,0,0,0,1,0,0,0,0,1,0.0,0.0
0,0,0,0,0.4583333333333333,1,0,1,0,0,1,1,0,1,0.7025948103792414,0.3486148212969787,0,0.28421052631578947,0.6859430604982205,0,1,0,0,0,1,0,0,1,0,0.0,0.0
0,1,1,0,0.8055555555555555,1,1,0,1,0,0,1,1,1,0.8018962075848304,0.6656111827560797,0,0.16842105263157894,0.6650355871886121,0,1,0,1,0,0,0,0,1,0,0.25,0.25
1,0,1,0,0.6388888888888888,1,0,0,1,0,0,1,1,1,0.5044910179640718,0.3647752394988947,0,0.5052631578947369,0.07339857651245552,1,0,0,1,0,0,0,1,0,0,0.25,0.25
0,0,1,0,0.6666666666666666,1,1,1,1,1,0,1,1,1,0.9271457085828345,0.6120002763448785,0,0.7263157894736842,0.07028469750889677,0,1,0,1,0,0,1,0,0,0,0.0,0.0
1,0,1,0,0.8888888888888888,1,1,-1,-1,-1,-1,-1,-1,0,0.06437125748502992,0.18247973470891674,0,0.5894736842105264,0.7862544483985764,0,0,1,0,0,1,0,1,0,0,0.25,0.25
0,0,0,1,0.4861111111111111,1,0,0,0,0,1,1,1,1,0.5344311377245508,0.2873008014001474,0,0.42105263157894735,0.7800266903914591,1,0,0,0,1,0,0,0,0,1,0.0,0.125
1,0,1,0,0.9027777777777777,1,1,1,1,0,1,1,0,1,0.8143712574850299,0.7649571665438468,0,0.7052631578947368,0.6476868327402135,0,1,0,0,1,0,1,0,0,0,0.0,0.0
0,0,0,1,0.013888888888888888,1,0,0,0,0,0,0,1,0,0.6122754491017965,0.009199981577008107,1,0.9789473684210526,0.30938612099644125,0,1,0,1,0,0,0,0,1,0,0.5,0.5
1,0,0,0,0.06944444444444445,1,0,0,0,0,0,1,0,1,0.6232534930139721,0.04485998526160649,1,0.9578947368421054,0.38145017793594305,0,1,0,1,0,0,0,1,0,0,0.3333333333333333,0.3333333333333333
1,0,1,1,0.041666666666666664,1,0,0,1,0,0,1,0,1,0.4006986027944112,0.01941322770817981,0,0.4947368421052632,0.3672153024911031,1,0,0,1,0,0,0,1,0,0,0.5,0.42857142857142855
1,0,1,0,1.0,1,1,0,1,1,0,1,1,1,0.8263473053892216,0.8432145817980841,0,0.21052631578947367,0.5547153024911032,0,1,0,0,1,0,0,0,1,0,0.2,0.2653061224489796
0,0,0,0,0.06944444444444445,1,1,0,0,0,0,0,0,1,0.5723552894211577,0.041192658437730297,1,0.8631578947368421,0.33741103202846967,0,1,0,1,0,0,1,0,0,0,0.5,0.33884297520661155
0,0,0,0,0.05555555555555555,1,1,0,0,0,1,0,1,0,0.469061876247505,0.02731208548268239,0,0.43157894736842106,0.8238434163701066,1,0,0,1,0,0,0,0,0,1,0.25,0.13333333333333333
1,0,0,0,0.40277777777777773,1,1,1,0,0,0,0,1,1,0.4745508982035928,0.2201720246868092,0,0.7052631578947368,0.7978202846975088,1,0,0,1,0,0,0,0,1,0,0.0,0.23076923076923078
1,0,1,0,0.7638888888888888,1,1,0,1,1,0,1,0,1,0.7574850299401197,0.5841355011053796,0,0.5263157894736843,0.7949288256227757,0,1,0,1,0,0,0,1,0,0,0.0,0.25274725274725274
1,0,1,1,0.06944444444444445,0,-1,0,1,0,0,0,0,1,0.11926147704590817,0.01925202652910833,0,0.23157894736842105,0.8830071174377224,1,0,0,1,0,0,0,0,1,0,0.75,0.6666666666666666
1,0,0,0,0.25,1,1,0,0,0,0,1,0,1,0.6651696606786428,0.1789217943994105,1,0.7578947368421052,0.2942615658362989,0,1,0,1,0,0,0,0,1,0,1.0,1.0
0,0,0,0,0.41666666666666663,1,1,0,0,0,1,0,1,1,0.7120758483033933,0.31355356484893154,0,0.29473684210526313,0.27357651245551595,0,1,0,1,0,0,0,1,0,0,0.75,0.375
0,0,0,0,0.6805555555555555,1,1,0,1,0,1,1,1,1,0.8792415169660679,0.5950741525423731,0,0.23157894736842105,0.7008451957295373,0,1,0,0,1,0,1,0,0,0,0.0,0.0
1,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0.7225548902195609,0.7448185335298454,0,0.5157894736842106,0.9092526690391459,1,0,0,0,0,1,1,0,0,0,0.0,0.0
0,0,1,0,0.15277777777777776,1,0,-1,-1,-1,-1,-1,-1,1,0.01996007984031936,0.021295827192336036,0,0.18947368421052632,0.43772241992882555,0,0,1,0,1,0,0,0,0,1,0.25,0.25
